"month_year","user_id","retweet_user_id","value"
2021-06-30,"150441535","43814969",2
2021-06-30,"1048102104","253636753",1
2021-06-30,"1153087813405106176","117185027",1
2021-06-30,"150441535","164335332",1
2021-06-30,"486961348","2883216219",1
2021-06-30,"845696348","961274156",1
2021-06-30,"144598281","3092373641",2
2021-06-30,"34335037","164335332",2
2021-06-30,"1048102104","155639783",2
2021-06-30,"164335332","164335332",1
2021-06-30,"164335332","52439980",1
2021-06-30,"155639783","117185027",1
2021-06-30,"155639783","262857572",1
2021-06-30,"144598281","1150985175582609408",1
2021-06-30,"144598281","154184640",1
2021-06-30,"144598281","282201112",1
2021-06-30,"150441535","231239794",1
2021-06-30,"486961348","161438782",2
2021-06-30,"148612768","8952422",10
2021-06-30,"164335332","961274156",1
2021-06-30,"2883216219","867022208555732994",1
2021-06-30,"144598281","164335332",1
2021-06-30,"1109463268467376128","1109463268467376128",1
2021-06-30,"486961348","3092373641",2
2021-06-30,"150441535","150684554",2
2021-06-30,"148612768","38078904",2
2021-06-30,"155639783","162465278",1
2021-06-30,"188159659","189980904",4
2021-06-30,"150441535","161438782",5
2021-06-30,"845696348","1723102656",1
2021-06-30,"144598281","247047815",1
2021-06-30,"144598281","52439980",1
2021-06-30,"913089361599754240","267960594",1
2021-06-30,"150441535","162181568",8
2021-06-30,"150441535","52439980",1
2021-06-30,"486961348","1150985175582609408",1
2021-06-30,"486961348","33324953",1
2021-06-30,"164335332","867022208555732994",2
2021-06-30,"1048102104","267960594",6
2021-06-30,"1048102104","4529320173",2
2021-06-30,"486961348","486961348",3
2021-06-30,"845696348","267784293",1
2021-06-30,"164335332","144598281",1
2021-06-30,"2883216219","267784293",2
2021-06-30,"2883216219","33324953",2
2021-06-30,"34335037","486961348",1
2021-06-30,"1048102104","1550784409",2
2021-06-30,"486961348","180392548",1
2021-06-30,"750523611857969152","259717758",1
2021-06-30,"913089361599754240","189980904",1
2021-06-30,"164335332","259717758",1
2021-06-30,"164335332","282201112",3
2021-06-30,"164335332","486961348",4
2021-06-30,"144598281","33324953",2
2021-06-30,"144598281","587699611",1
2021-06-30,"1109463268467376128","117185027",4
2021-06-30,"486961348","144598281",1
2021-06-30,"164335332","1559163650",1
2021-06-30,"34335037","1559163650",3
2021-06-30,"148612768","594099941",3
2021-06-30,"1153087813405106176","267960594",1
2021-06-30,"144598281","867022208555732994",1
2021-06-30,"150441535","130535563",5
2021-06-30,"150441535","62584305",1
2021-06-30,"144598281","162181568",1
2021-06-30,"34335037","180536299",2
2021-06-30,"34335037","3092373641",3
2021-06-30,"148612768","162465278",1
2021-06-30,"167751026","314982614",1
2021-06-30,"1316902423","259717758",4
2021-06-30,"1316902423","43814969",3
2021-06-30,"1615564993","40741753",2
2021-06-30,"1090344907548647425","1723102656",1
2021-06-30,"704175163","154184640",5
2021-06-30,"1149500866581409792","1149500866581409792",1
